design_id,predictor,bsa,n_iface_binder,n_iface_target,hbonds,salt_bridges,iface_frac_hydrophobic,iface_frac_polar,iface_frac_charged,hbond_density_per100,monomer_rmsd
6,af2m,1536.0,20,13,6,0,0.75,0.05,0.2,0.391,
7,protenix,1408.3,15,12,4,0,0.6,0.2,0.2,0.284,
7,chai,1787.9,17,23,8,2,0.647,0.176,0.176,0.447,
7,esmfold2,1546.2,17,15,3,1,0.706,0.118,0.176,0.194,
7,boltz2,1487.6,14,14,5,2,0.643,0.214,0.143,0.336,
7,af2m,1382.7,15,14,9,2,0.667,0.133,0.2,0.651,
8,protenix,1155.3,14,12,1,1,0.786,0.071,0.143,0.087,
8,chai,1837.6,24,17,5,2,0.75,0.125,0.125,0.272,
8,esmfold2,1379.5,18,15,2,1,0.833,0.056,0.111,0.145,
8,boltz2,1314.8,17,12,0,1,0.706,0.118,0.176,0.0,
8,af2m,1707.0,23,16,6,1,0.783,0.13,0.087,0.351,
9,protenix,1482.2,16,12,6,0,0.812,0.0,0.188,0.405,
9,chai,2138.7,22,21,13,1,0.864,0.0,0.136,0.608,
9,esmfold2,1984.5,18,23,7,1,0.778,0.0,0.222,0.353,
9,boltz2,1611.2,19,15,6,2,0.789,0.0,0.211,0.372,
9,af2m,1527.3,20,14,6,1,0.85,0.0,0.15,0.393,
10,protenix,1518.3,18,14,6,0,0.556,0.222,0.222,0.395,
10,chai,1557.5,19,13,2,0,0.579,0.158,0.263,0.128,
10,esmfold2,1535.6,17,12,4,0,0.529,0.235,0.235,0.26,
10,boltz2,1555.2,19,14,1,0,0.526,0.211,0.263,0.064,
10,af2m,1504.4,16,12,2,0,0.5,0.25,0.25,0.133,
11,protenix,1870.7,23,19,10,5,0.696,0.087,0.217,0.535,
11,chai,3298.1,32,45,38,11,0.594,0.094,0.312,1.152,
11,esmfold2,2193.4,28,24,9,4,0.714,0.107,0.179,0.41,
11,boltz2,2459.0,25,27,16,5,0.6,0.12,0.28,0.651,
11,af2m,2575.7,30,30,19,5,0.7,0.1,0.2,0.738,
12,protenix,1317.5,13,18,15,5,0.462,0.154,0.385,1.139,
12,chai,1543.8,16,14,10,6,0.5,0.188,0.312,0.648,
12,esmfold2,1662.3,19,22,17,3,0.526,0.211,0.263,1.023,
12,boltz2,1726.4,21,21,17,5,0.571,0.19,0.238,0.985,
12,af2m,1645.5,20,21,17,5,0.55,0.2,0.25,1.033,
13,protenix,1781.4,23,16,7,3,0.652,0.174,0.174,0.393,
13,chai,2408.5,30,26,12,3,0.533,0.233,0.233,0.498,
13,esmfold2,2077.1,25,21,12,4,0.6,0.2,0.2,0.578,
13,boltz2,1723.4,25,15,7,1,0.64,0.2,0.16,0.406,
13,af2m,1849.1,24,19,7,3,0.625,0.208,0.167,0.379,
14,protenix,2003.6,28,16,5,1,0.607,0.107,0.286,0.25,
14,chai,1916.4,27,18,10,4,0.593,0.148,0.259,0.522,
14,esmfold2,2008.6,27,17,8,2,0.63,0.185,0.185,0.398,
14,boltz2,1733.6,27,16,5,3,0.593,0.185,0.222,0.288,
14,af2m,1895.6,27,15,5,1,0.667,0.111,0.222,0.264,
15,protenix,1589.2,21,12,7,0,0.667,0.095,0.238,0.44,
15,chai,1855.2,23,18,5,1,0.609,0.087,0.304,0.27,
15,esmfold2,1636.1,22,11,5,0,0.636,0.091,0.273,0.306,
15,boltz2,1736.1,21,14,6,0,0.619,0.095,0.286,0.346,
15,af2m,1587.3,22,12,5,0,0.636,0.091,0.273,0.315,
16,protenix,2235.8,29,18,11,3,0.517,0.207,0.276,0.492,
16,chai,2274.7,26,22,9,2,0.577,0.231,0.192,0.396,
16,esmfold2,2342.4,29,21,15,5,0.483,0.241,0.276,0.64,
16,boltz2,2166.1,27,19,8,4,0.519,0.222,0.259,0.369,
16,af2m,2211.7,27,20,8,3,0.556,0.222,0.222,0.362,
17,protenix,2308.7,30,28,11,1,0.633,0.133,0.233,0.476,
17,chai,2206.2,29,21,7,0,0.655,0.138,0.207,0.317,
17,esmfold2,2333.5,30,22,12,1,0.567,0.167,0.267,0.514,
17,boltz2,2200.0,28,21,7,2,0.607,0.143,0.25,0.318,
17,af2m,2113.5,29,18,11,0,0.621,0.207,0.172,0.52,
18,protenix,1795.4,23,16,5,4,0.565,0.087,0.348,0.278,
18,chai,2221.3,27,20,6,3,0.63,0.074,0.296,0.27,
18,esmfold2,2298.1,27,21,14,2,0.593,0.074,0.333,0.609,
18,boltz2,2217.9,25,17,16,4,0.6,0.08,0.32,0.721,
18,af2m,2079.2,26,17,9,4,0.577,0.077,0.346,0.433,
19,protenix,1256.7,17,15,9,0,0.471,0.353,0.176,0.716,
19,chai,2231.7,29,25,15,8,0.448,0.345,0.207,0.672,
19,boltz2,3030.4,38,37,25,4,0.421,0.368,0.211,0.825,
19,af2m,1558.4,20,22,48,2,0.5,0.3,0.2,3.08,
20,protenix,873.2,11,11,11,1,0.455,0.364,0.182,1.26,
20,chai,1082.6,22,10,0,0,0.182,0.818,0.0,0.0,
20,boltz2,934.2,19,9,0,0,0.158,0.842,0.0,0.0,
20,af2m,1297.4,26,14,6,0,0.192,0.808,0.0,0.462,
21,protenix,1748.2,19,17,7,3,0.579,0.158,0.263,0.4,
21,chai,2376.0,24,24,16,6,0.542,0.167,0.292,0.673,
21,esmfold2,2638.1,25,27,9,4,0.6,0.16,0.24,0.341,
21,boltz2,1762.7,20,16,9,6,0.65,0.15,0.2,0.511,
21,af2m,1684.9,22,17,4,4,0.545,0.136,0.318,0.237,
22,protenix,1271.6,14,15,1,0,0.5,0.143,0.357,0.079,
22,chai,2774.4,29,28,12,1,0.379,0.172,0.448,0.433,
22,esmfold2,1650.1,17,17,5,0,0.529,0.118,0.353,0.303,
22,boltz2,1557.1,15,17,2,0,0.467,0.133,0.4,0.128,
22,af2m,1311.9,14,14,2,0,0.571,0.143,0.286,0.152,
23,protenix,1831.7,20,19,7,0,0.5,0.35,0.15,0.382,
23,chai,2200.2,23,25,11,2,0.391,0.435,0.174,0.5,
23,esmfold2,2238.4,25,23,8,0,0.44,0.28,0.28,0.357,
23,boltz2,2057.2,20,26,13,0,0.5,0.35,0.15,0.632,
23,af2m,1667.8,19,16,9,0,0.526,0.368,0.105,0.54,
24,protenix,1455.9,21,12,8,0,0.571,0.19,0.238,0.549,
24,chai,1537.0,22,14,4,0,0.455,0.227,0.318,0.26,
24,esmfold2,1789.4,26,16,9,0,0.423,0.269,0.308,0.503,
24,boltz2,1630.6,22,14,4,1,0.5,0.273,0.227,0.245,
24,af2m,1470.4,23,13,3,0,0.478,0.261,0.261,0.204,
25,protenix,1740.5,19,18,8,3,0.579,0.158,0.263,0.46,
25,chai,2202.4,22,25,16,5,0.545,0.136,0.318,0.726,
25,esmfold2,3180.2,32,35,23,9,0.5,0.156,0.344,0.723,
25,boltz2,2631.4,27,27,17,4,0.556,0.148,0.296,0.646,
25,af2m,1716.5,21,16,9,3,0.619,0.095,0.286,0.524,
26,protenix,2150.8,26,19,4,1,0.577,0.231,0.192,0.186,
26,chai,2036.5,26,21,5,2,0.577,0.231,0.192,0.246,
26,esmfold2,2434.5,28,24,9,0,0.571,0.214,0.214,0.37,
26,boltz2,2473.1,24,24,9,1,0.625,0.208,0.167,0.364,
26,af2m,1903.9,25,16,3,0,0.6,0.24,0.16,0.158,
27,protenix,1352.5,17,11,4,0,0.529,0.235,0.235,0.296,
27,chai,1542.9,23,14,3,1,0.435,0.304,0.261,0.194,
27,esmfold2,1781.1,25,16,6,0,0.44,0.28,0.28,0.337,
27,boltz2,2008.9,23,19,1,1,0.435,0.261,0.304,0.05,
27,af2m,1520.1,22,12,4,0,0.455,0.364,0.182,0.263,
28,protenix,1421.6,15,13,4,0,0.533,0.333,0.133,0.281,
28,chai,1839.6,18,17,3,1,0.5,0.278,0.222,0.163,
28,esmfold2,1787.4,18,19,3,0,0.444,0.278,0.278,0.168,
28,boltz2,2201.0,24,24,7,2,0.458,0.25,0.292,0.318,
28,af2m,1654.6,17,13,4,0,0.529,0.353,0.118,0.242,
29,protenix,1398.5,16,13,4,1,0.625,0.125,0.25,0.286,
29,chai,1369.6,16,12,2,0,0.625,0.125,0.25,0.146,
29,esmfold2,1352.9,16,11,3,0,0.625,0.125,0.25,0.222,
29,boltz2,1300.3,16,12,2,0,0.625,0.125,0.25,0.154,
29,af2m,1400.9,17,12,3,0,0.647,0.118,0.235,0.214,
30,protenix,1414.7,16,13,3,0,0.5,0.125,0.375,0.212,
30,chai,1410.4,18,11,3,0,0.444,0.111,0.444,0.213,
30,esmfold2,1302.2,17,11,3,0,0.529,0.118,0.353,0.23,
30,boltz2,1364.2,17,14,1,0,0.529,0.118,0.353,0.073,
30,af2m,1309.0,15,12,2,1,0.533,0.133,0.333,0.153,
31,protenix,1126.0,16,19,5,0,0.562,0.188,0.25,0.444,
31,chai,1652.8,17,23,12,7,0.588,0.235,0.176,0.726,
31,esmfold2,1092.4,18,10,3,0,0.833,0.167,0.0,0.275,
31,boltz2,1120.7,19,9,1,0,0.737,0.158,0.105,0.089,
31,af2m,1596.2,21,24,45,2,0.81,0.048,0.143,2.819,
32,protenix,794.2,13,7,0,1,0.769,0.077,0.154,0.0,
32,chai,2244.1,28,25,2,1,0.75,0.071,0.179,0.089,
32,boltz2,1716.0,26,22,4,2,0.654,0.115,0.231,0.233,
32,af2m,1116.7,20,13,18,3,0.75,0.15,0.1,1.612,
33,protenix,1997.3,25,19,3,1,0.68,0.12,0.2,0.15,
33,chai,3269.9,38,37,9,3,0.658,0.132,0.211,0.275,
33,esmfold2,2294.7,27,21,4,1,0.63,0.185,0.185,0.174,
33,boltz2,1808.5,21,18,3,1,0.619,0.143,0.238,0.166,
33,af2m,1885.9,24,17,8,3,0.667,0.125,0.208,0.424,
34,protenix,1565.8,22,15,7,2,0.5,0.227,0.273,0.447,
34,chai,2567.8,28,31,20,7,0.429,0.179,0.393,0.779,
34,esmfold2,1534.7,21,15,7,2,0.524,0.238,0.238,0.456,
34,boltz2,1833.3,22,18,11,4,0.409,0.273,0.318,0.6,
34,af2m,1630.3,23,16,11,4,0.522,0.217,0.261,0.675,
35,protenix,2253.8,32,18,15,1,0.656,0.094,0.25,0.666,
35,chai,2580.0,29,28,17,4,0.621,0.138,0.241,0.659,
35,esmfold2,2199.4,27,19,10,2,0.63,0.111,0.259,0.455,
35,boltz2,2523.2,27,26,8,2,0.63,0.111,0.259,0.317,
35,af2m,2177.6,26,20,13,3,0.615,0.115,0.269,0.597,
36,protenix,1378.0,16,15,5,0,0.375,0.5,0.125,0.363,
36,chai,3064.1,34,34,21,0,0.265,0.588,0.147,0.685,
36,boltz2,2271.2,28,26,17,0,0.286,0.607,0.107,0.748,
36,af2m,1613.9,22,21,23,1,0.273,0.5,0.227,1.425,
37,protenix,1205.5,17,17,18,3,0.412,0.471,0.118,1.493,
37,chai,1179.3,16,15,17,0,0.25,0.562,0.188,1.442,
37,esmfold2,1407.3,22,16,19,2,0.227,0.727,0.045,1.35,
37,boltz2,1883.1,20,27,17,3,0.25,0.6,0.15,0.903,
37,af2m,1461.3,23,22,43,0,0.174,0.739,0.087,2.943,
38,protenix,1890.6,26,18,6,1,0.615,0.154,0.231,0.317,
38,chai,2155.2,26,19,7,3,0.577,0.154,0.269,0.325,
38,esmfold2,1672.3,23,14,5,0,0.696,0.087,0.217,0.299,
38,boltz2,1933.4,26,18,6,2,0.615,0.154,0.231,0.31,
38,af2m,2362.4,29,20,7,2,0.586,0.172,0.241,0.296,
39,protenix,1274.1,18,11,4,2,0.667,0.167,0.167,0.314,
39,chai,1494.6,22,13,3,1,0.727,0.136,0.136,0.201,
39,esmfold2,1824.6,25,22,5,3,0.68,0.16,0.16,0.274,
39,boltz2,2541.7,34,24,13,2,0.588,0.206,0.206,0.511,
39,af2m,1313.3,21,11,2,2,0.667,0.19,0.143,0.152,
40,protenix,1517.4,18,14,11,0,0.333,0.111,0.556,0.725,
40,chai,1952.7,26,19,5,3,0.346,0.192,0.462,0.256,
40,esmfold2,2180.6,24,20,10,1,0.375,0.125,0.5,0.459,
40,boltz2,1432.4,19,13,6,1,0.421,0.105,0.474,0.419,
40,af2m,1632.3,23,16,8,0,0.435,0.087,0.478,0.49,
41,protenix,1857.9,21,22,11,1,0.095,0.762,0.143,0.592,
41,chai,2187.3,25,28,13,2,0.16,0.68,0.16,0.594,
41,esmfold2,2750.0,28,39,26,5,0.107,0.607,0.286,0.945,
41,boltz2,3529.5,42,40,36,4,0.19,0.595,0.214,1.02,
41,af2m,1231.8,13,20,11,3,0.154,0.615,0.231,0.893,
42,protenix,2058.3,33,18,5,2,0.545,0.333,0.121,0.243,
42,chai,5176.8,59,49,32,3,0.441,0.237,0.322,0.618,
42,esmfold2,1401.7,20,14,4,2,0.5,0.4,0.1,0.285,
42,boltz2,2614.9,34,29,11,1,0.471,0.353,0.176,0.421,
42,af2m,1626.4,21,15,7,2,0.571,0.333,0.095,0.43,
43,protenix,1326.3,23,13,1,0,0.391,0.522,0.087,0.075,
43,chai,1352.9,25,13,4,1,0.32,0.56,0.12,0.296,
43,boltz2,1533.6,32,15,15,1,0.312,0.531,0.156,0.978,
43,af2m,1224.5,26,11,6,1,0.423,0.423,0.154,0.49,
44,protenix,1784.7,24,18,22,4,0.458,0.292,0.25,1.233,
44,chai,2800.6,35,38,19,1,0.314,0.4,0.286,0.678,
44,boltz2,1192.8,14,12,3,0,0.286,0.429,0.286,0.252,
44,af2m,1377.6,26,16,5,0,0.423,0.423,0.154,0.363,
45,protenix,2020.8,26,21,7,3,0.577,0.231,0.192,0.346,
45,chai,2678.4,31,26,10,2,0.613,0.226,0.161,0.373,
45,esmfold2,2576.1,28,24,9,1,0.571,0.179,0.25,0.349,
45,boltz2,1803.5,25,16,8,2,0.64,0.2,0.16,0.444,
45,af2m,1887.9,25,16,9,3,0.6,0.2,0.2,0.477,
46,protenix,1616.2,22,17,5,1,0.682,0.182,0.136,0.309,
46,chai,1673.2,23,14,4,0,0.652,0.174,0.174,0.239,
46,esmfold2,2233.6,29,20,11,0,0.759,0.138,0.103,0.492,
46,boltz2,2265.6,26,23,13,4,0.654,0.154,0.192,0.574,
46,af2m,1632.1,22,13,3,1,0.636,0.136,0.227,0.184,
47,protenix,1521.2,20,12,8,2,0.55,0.2,0.25,0.526,
47,chai,1977.8,25,18,6,3,0.44,0.2,0.36,0.303,
47,esmfold2,2655.6,27,30,22,3,0.444,0.185,0.37,0.828,
47,boltz2,1673.9,23,16,6,1,0.478,0.217,0.304,0.358,
47,af2m,1446.6,18,16,10,4,0.444,0.278,0.278,0.691,
48,protenix,1839.4,19,20,22,8,0.474,0.211,0.316,1.196,
48,chai,2883.6,30,34,15,5,0.533,0.2,0.267,0.52,
48,esmfold2,2611.7,31,30,18,3,0.516,0.161,0.323,0.689,
48,boltz2,2930.8,25,38,21,7,0.44,0.16,0.4,0.717,
48,af2m,1857.6,21,17,14,7,0.524,0.19,0.286,0.754,
49,protenix,1322.8,16,13,4,2,0.5,0.25,0.25,0.302,
49,chai,1325.8,16,11,2,3,0.5,0.188,0.312,0.151,
49,esmfold2,2381.6,25,29,24,2,0.6,0.24,0.16,1.008,
49,boltz2,1917.1,26,15,10,2,0.577,0.192,0.231,0.522,
49,af2m,1186.6,13,10,7,2,0.538,0.231,0.231,0.59,
50,protenix,1787.5,26,21,8,0,0.692,0.077,0.231,0.448,
50,chai,1813.6,22,18,7,4,0.591,0.136,0.273,0.386,
50,esmfold2,1335.1,19,12,1,0,0.684,0.105,0.211,0.075,
50,boltz2,1468.2,19,12,5,3,0.579,0.158,0.263,0.341,
50,af2m,1521.2,19,15,9,4,0.579,0.158,0.263,0.592,
51,protenix,1389.7,18,14,6,2,0.444,0.333,0.222,0.432,
51,chai,2231.6,26,30,11,0,0.385,0.423,0.192,0.493,
51,boltz2,2366.4,26,29,13,1,0.154,0.615,0.231,0.549,
51,af2m,1275.8,25,15,19,3,0.48,0.44,0.08,1.489,
52,protenix,1115.7,15,11,2,1,0.333,0.333,0.333,0.179,
52,chai,1784.6,18,23,11,7,0.444,0.278,0.278,0.616,
52,esmfold2,1607.4,16,16,8,2,0.375,0.25,0.375,0.498,
52,boltz2,1089.4,13,10,2,3,0.538,0.308,0.154,0.184,
52,af2m,1149.3,15,11,3,1,0.467,0.333,0.2,0.261,
53,protenix,1501.8,21,15,3,2,0.714,0.095,0.19,0.2,
53,chai,1686.3,23,18,1,0,0.696,0.087,0.217,0.059,
53,esmfold2,3214.7,43,36,17,2,0.651,0.163,0.186,0.529,
53,boltz2,1530.6,20,16,5,2,0.75,0.1,0.15,0.327,
53,af2m,1469.8,19,14,4,2,0.737,0.105,0.158,0.272,
54,protenix,1479.4,21,12,1,1,0.762,0.095,0.143,0.068,
54,chai,1796.1,20,21,4,0,0.85,0.1,0.05,0.223,
54,esmfold2,2238.6,29,26,16,2,0.724,0.069,0.207,0.715,
54,boltz2,1477.8,20,15,5,2,0.8,0.1,0.1,0.338,
54,af2m,1535.1,20,15,6,2,0.75,0.1,0.15,0.391,
55,protenix,1502.6,22,16,3,2,0.773,0.136,0.091,0.2,
55,chai,1441.3,22,15,1,1,0.727,0.136,0.136,0.069,
55,esmfold2,2166.9,28,28,14,2,0.714,0.143,0.143,0.646,
55,boltz2,1422.8,20,13,4,0,0.75,0.15,0.1,0.281,
55,af2m,1522.3,21,15,5,2,0.762,0.143,0.095,0.328,
56,protenix,1423.7,19,12,3,0,0.579,0.211,0.211,0.211,
56,chai,1687.5,20,16,1,0,0.6,0.2,0.2,0.059,
56,esmfold2,2950.8,38,33,11,2,0.605,0.211,0.184,0.373,
56,boltz2,1671.4,22,19,5,2,0.636,0.182,0.182,0.299,
56,af2m,1518.9,22,13,5,2,0.636,0.182,0.182,0.329,
57,protenix,1385.4,20,12,5,2,0.75,0.05,0.2,0.361,
57,chai,1379.3,20,13,3,0,0.75,0.05,0.2,0.217,
57,esmfold2,2979.5,35,36,18,2,0.629,0.057,0.314,0.604,
57,boltz2,1452.1,21,14,3,2,0.762,0.048,0.19,0.207,
57,af2m,1295.8,17,13,1,2,0.765,0.059,0.176,0.077,
58,protenix,1454.2,21,14,3,2,0.762,0.095,0.143,0.206,
58,chai,1487.1,18,15,2,1,0.722,0.167,0.111,0.134,
58,esmfold2,3168.0,41,34,37,2,0.634,0.122,0.244,1.168,
58,boltz2,1442.5,20,15,2,2,0.75,0.1,0.15,0.139,
58,af2m,1414.8,19,13,5,2,0.789,0.105,0.105,0.353,
59,protenix,1490.1,19,13,3,2,0.737,0.105,0.158,0.201,
59,chai,1436.9,18,15,2,2,0.722,0.111,0.167,0.139,
59,esmfold2,1967.7,24,25,11,2,0.792,0.083,0.125,0.559,
59,boltz2,1493.8,19,16,3,2,0.737,0.105,0.158,0.201,
59,af2m,1518.6,21,14,5,2,0.762,0.095,0.143,0.329,
60,protenix,1544.9,21,15,4,2,0.714,0.19,0.095,0.259,
60,chai,1468.9,21,14,1,0,0.714,0.19,0.095,0.068,
60,esmfold2,2132.9,27,27,13,2,0.704,0.148,0.148,0.609,
60,boltz2,1613.8,21,15,4,2,0.714,0.19,0.095,0.248,
60,af2m,1605.6,21,14,5,2,0.714,0.19,0.095,0.311,
61,protenix,1401.5,21,15,4,2,0.762,0.095,0.143,0.285,
61,chai,1428.1,21,14,5,2,0.762,0.095,0.143,0.35,
61,esmfold2,2124.7,27,24,8,2,0.704,0.111,0.185,0.377,
61,boltz2,1430.3,20,12,0,0,0.75,0.1,0.15,0.0,
61,af2m,1385.7,19,14,4,2,0.737,0.105,0.158,0.289,
62,protenix,1421.4,21,13,1,1,0.762,0.095,0.143,0.07,
62,chai,1739.2,20,16,6,4,0.65,0.15,0.2,0.345,
62,esmfold2,2969.6,38,32,16,2,0.711,0.132,0.158,0.539,
62,boltz2,1438.6,18,12,2,1,0.778,0.111,0.111,0.139,
62,af2m,1439.4,20,13,5,2,0.75,0.1,0.15,0.347,
63,protenix,1544.6,22,14,6,3,0.682,0.091,0.227,0.388,
63,chai,1617.1,23,15,2,0,0.696,0.13,0.174,0.124,
63,esmfold2,1373.9,20,11,8,4,0.7,0.1,0.2,0.582,
63,boltz2,1742.5,22,18,3,4,0.727,0.091,0.182,0.172,
63,af2m,1274.2,17,9,2,1,0.765,0.118,0.118,0.157,
64,protenix,1954.1,23,28,25,2,0.522,0.043,0.435,1.279,
64,chai,1812.4,24,16,7,7,0.458,0.083,0.458,0.386,
64,boltz2,1761.0,20,20,20,6,0.4,0.15,0.45,1.136,
64,af2m,1790.0,23,16,14,4,0.435,0.087,0.478,0.782,
65,protenix,1743.5,20,18,11,2,0.5,0.15,0.35,0.631,
65,chai,1684.5,19,16,9,2,0.368,0.211,0.421,0.534,
65,esmfold2,1573.3,22,15,6,2,0.5,0.136,0.364,0.381,
65,boltz2,1518.6,19,15,6,1,0.579,0.105,0.316,0.395,
65,af2m,1885.2,22,21,19,2,0.364,0.182,0.455,1.008,
66,protenix,1794.7,21,23,20,2,0.429,0.0,0.571,1.114,
66,chai,1917.7,16,21,10,5,0.438,0.0,0.562,0.521,
66,boltz2,934.8,11,10,0,0,0.364,0.0,0.636,0.0,
66,af2m,1012.4,10,12,14,5,0.4,0.1,0.5,1.383,
67,protenix,1522.2,21,18,16,0,0.286,0.048,0.667,1.051,
67,chai,1103.2,11,12,4,2,0.364,0.0,0.636,0.363,
67,boltz2,1810.5,22,19,5,3,0.409,0.045,0.545,0.276,
67,af2m,1635.5,21,18,12,1,0.476,0.0,0.524,0.734,
68,protenix,1885.5,21,20,13,2,0.476,0.0,0.524,0.689,
68,chai,1682.4,22,16,6,5,0.455,0.091,0.455,0.357,
68,esmfold2,1667.2,20,17,9,5,0.4,0.1,0.5,0.54,
68,boltz2,2136.9,24,19,16,7,0.417,0.083,0.5,0.749,
68,af2m,1104.2,15,9,9,4,0.4,0.133,0.467,0.815,
69,protenix,1877.7,21,20,12,2,0.429,0.048,0.524,0.639,
69,chai,1785.5,23,18,15,7,0.435,0.087,0.478,0.84,
69,esmfold2,1667.9,20,18,8,2,0.4,0.1,0.5,0.48,
69,boltz2,1206.8,14,16,15,7,0.357,0.143,0.5,1.243,
69,af2m,1774.8,23,17,9,3,0.435,0.087,0.478,0.507,
70,protenix,1495.7,20,17,3,0,0.6,0.25,0.15,0.201,
70,chai,1952.9,23,21,6,0,0.522,0.261,0.217,0.307,
70,boltz2,3576.9,44,40,23,0,0.432,0.364,0.205,0.643,
70,af2m,1354.6,20,17,7,3,0.6,0.25,0.15,0.517,
71,protenix,1699.8,22,18,19,6,0.364,0.318,0.318,1.118,
71,chai,2286.2,23,26,19,9,0.391,0.261,0.348,0.831,
71,esmfold2,3353.4,40,45,54,7,0.4,0.325,0.275,1.61,
71,boltz2,2790.3,33,34,12,2,0.394,0.394,0.212,0.43,
71,af2m,1600.3,25,27,41,2,0.24,0.44,0.32,2.562,
72,protenix,1124.0,14,9,4,3,0.571,0.286,0.143,0.356,
72,chai,2897.0,34,35,19,1,0.441,0.412,0.147,0.656,
72,boltz2,3681.3,46,37,22,2,0.37,0.5,0.13,0.598,
72,af2m,1397.1,20,17,8,1,0.6,0.25,0.15,0.573,
73,protenix,1456.3,16,15,7,4,0.562,0.062,0.375,0.481,
73,chai,1890.5,20,17,7,1,0.5,0.1,0.4,0.37,
73,esmfold2,1496.8,17,14,4,3,0.647,0.059,0.294,0.267,
73,boltz2,1942.5,22,23,3,4,0.591,0.136,0.273,0.154,
73,af2m,1334.7,15,14,2,3,0.667,0.067,0.267,0.15,
74,protenix,1727.9,21,17,3,2,0.667,0.19,0.143,0.174,
74,chai,3985.2,44,47,25,0,0.477,0.227,0.295,0.627,
74,esmfold2,1705.0,22,14,4,0,0.682,0.182,0.136,0.235,
74,boltz2,1678.1,20,17,6,2,0.7,0.15,0.15,0.358,
74,af2m,1782.2,22,18,1,3,0.682,0.182,0.136,0.056,
75,protenix,1764.9,21,17,7,0,0.714,0.143,0.143,0.397,
75,chai,2770.5,30,33,4,2,0.533,0.233,0.233,0.144,
75,esmfold2,3098.5,31,32,15,2,0.548,0.226,0.226,0.484,
75,boltz2,2123.8,27,21,9,0,0.63,0.222,0.148,0.424,
75,af2m,1752.2,21,15,4,0,0.714,0.143,0.143,0.228,
76,protenix,1839.5,31,20,11,0,0.29,0.581,0.129,0.598,
76,chai,2062.0,31,24,13,2,0.258,0.581,0.161,0.63,
76,esmfold2,1480.2,26,13,8,0,0.346,0.577,0.077,0.54,
76,boltz2,1730.9,27,21,7,0,0.259,0.593,0.148,0.404,
76,af2m,1466.0,27,18,10,1,0.333,0.556,0.111,0.682,
77,protenix,1610.5,28,18,15,0,0.214,0.714,0.071,0.931,
77,chai,3149.4,35,41,27,0,0.2,0.771,0.029,0.857,
77,boltz2,2979.7,36,38,17,0,0.222,0.722,0.056,0.571,
77,af2m,1894.1,20,29,30,0,0.1,0.9,0.0,1.584,
78,protenix,1503.0,18,15,6,0,0.5,0.278,0.222,0.399,
78,chai,3554.2,36,43,39,6,0.333,0.333,0.333,1.097,
78,boltz2,867.3,7,10,7,0,0.286,0.286,0.429,0.807,
78,af2m,1208.6,15,15,10,0,0.333,0.467,0.2,0.827,
79,protenix,2290.8,26,30,8,1,0.115,0.769,0.115,0.349,
79,chai,3180.0,33,40,28,0,0.152,0.788,0.061,0.881,
79,esmfold2,2653.8,30,32,25,0,0.033,0.867,0.1,0.942,
79,boltz2,1769.5,22,20,10,0,0.136,0.864,0.0,0.565,
