design_id,pred,iface_helix,iface_strand,iface_loop,n_iface,beta_aug
34,boltz2,0.955,0.0,0.045,22,False
34,af2m,0.957,0.0,0.043,23,False
35,protenix,0.963,0.0,0.037,27,False
35,chai,0.931,0.0,0.069,29,False
35,esmfold2,1.0,0.0,0.0,27,False
35,boltz2,1.0,0.0,0.0,27,False
35,af2m,1.0,0.0,0.0,26,False
36,protenix,0.125,0.5,0.375,16,True
36,chai,0.059,0.471,0.471,34,True
36,boltz2,0.0,0.4,0.6,25,True
36,af2m,0.0,0.5,0.5,22,True
37,protenix,0.167,0.333,0.5,12,True
37,chai,0.0,0.214,0.786,14,True
37,esmfold2,0.19,0.048,0.762,21,False
37,boltz2,0.25,0.2,0.55,20,True
37,af2m,0.143,0.19,0.667,21,True
38,protenix,1.0,0.0,0.0,26,False
38,chai,0.962,0.0,0.038,26,False
38,esmfold2,0.957,0.0,0.043,23,False
38,boltz2,0.962,0.0,0.038,26,False
38,af2m,1.0,0.0,0.0,29,False
39,protenix,0.833,0.056,0.111,18,False
39,chai,0.727,0.091,0.182,22,False
39,esmfold2,0.72,0.04,0.24,25,False
39,boltz2,0.606,0.182,0.212,33,True
39,af2m,0.762,0.095,0.143,21,False
40,protenix,1.0,0.0,0.0,18,False
40,chai,0.923,0.0,0.077,26,False
40,esmfold2,0.917,0.0,0.083,24,False
40,boltz2,1.0,0.0,0.0,19,False
40,af2m,1.0,0.0,0.0,23,False
41,protenix,0.048,0.095,0.857,21,False
41,chai,0.04,0.08,0.88,25,False
41,esmfold2,0.107,0.25,0.643,28,True
41,boltz2,0.079,0.289,0.632,38,True
41,af2m,0.077,0.154,0.769,13,True
42,protenix,0.576,0.121,0.303,33,False
42,chai,0.356,0.322,0.322,59,True
42,esmfold2,0.8,0.1,0.1,20,False
42,boltz2,0.529,0.147,0.324,34,False
42,af2m,0.667,0.143,0.19,21,False
43,protenix,0.0,0.652,0.348,23,True
43,chai,0.0,0.64,0.36,25,True
43,boltz2,0.0,0.562,0.438,32,True
43,af2m,0.0,0.731,0.269,26,True
44,protenix,0.167,0.5,0.333,24,True
44,chai,0.029,0.6,0.371,35,True
44,boltz2,0.0,0.643,0.357,14,True
44,af2m,0.0,0.462,0.538,26,True
45,protenix,0.808,0.0,0.192,26,False
45,chai,0.839,0.0,0.161,31,False
45,esmfold2,0.857,0.0,0.143,28,False
45,boltz2,0.88,0.0,0.12,25,False
45,af2m,0.84,0.0,0.16,25,False
46,protenix,0.955,0.0,0.045,22,False
46,chai,1.0,0.0,0.0,23,False
46,esmfold2,0.931,0.0,0.069,29,False
46,boltz2,1.0,0.0,0.0,26,False
46,af2m,1.0,0.0,0.0,22,False
47,protenix,1.0,0.0,0.0,20,False
47,chai,1.0,0.0,0.0,25,False
47,esmfold2,1.0,0.0,0.0,27,False
47,boltz2,1.0,0.0,0.0,23,False
47,af2m,1.0,0.0,0.0,18,False
48,protenix,0.895,0.0,0.105,19,False
48,chai,0.8,0.0,0.2,30,False
48,esmfold2,0.933,0.0,0.067,30,False
48,boltz2,0.88,0.0,0.12,25,False
48,af2m,0.905,0.0,0.095,21,False
49,protenix,0.938,0.0,0.062,16,False
49,chai,1.0,0.0,0.0,16,False
49,esmfold2,0.957,0.0,0.043,23,False
49,boltz2,0.885,0.0,0.115,26,False
49,af2m,1.0,0.0,0.0,13,False
50,protenix,0.923,0.0,0.077,26,False
50,chai,0.909,0.0,0.091,22,False
50,esmfold2,1.0,0.0,0.0,19,False
50,boltz2,1.0,0.0,0.0,19,False
50,af2m,0.947,0.0,0.053,19,False
51,protenix,0.0,0.944,0.056,18,True
51,chai,0.0,0.731,0.269,26,True
51,boltz2,0.0,0.429,0.571,21,True
51,af2m,0.0,0.72,0.28,25,True
52,protenix,1.0,0.0,0.0,11,False
52,chai,0.833,0.0,0.167,18,False
52,esmfold2,0.938,0.0,0.062,16,False
52,boltz2,1.0,0.0,0.0,13,False
52,af2m,0.933,0.0,0.067,15,False
53,protenix,0.952,0.0,0.048,21,False
53,chai,0.957,0.0,0.043,23,False
53,esmfold2,0.829,0.0,0.171,41,False
53,boltz2,0.95,0.0,0.05,20,False
53,af2m,0.947,0.0,0.053,19,False
54,protenix,0.952,0.0,0.048,21,False
54,chai,0.95,0.0,0.05,20,False
54,esmfold2,0.926,0.0,0.074,27,False
54,boltz2,0.9,0.0,0.1,20,False
54,af2m,0.95,0.0,0.05,20,False
55,protenix,0.909,0.0,0.091,22,False
55,chai,0.955,0.0,0.045,22,False
55,esmfold2,0.846,0.0,0.154,26,False
55,boltz2,0.95,0.0,0.05,20,False
55,af2m,0.952,0.0,0.048,21,False
56,protenix,0.947,0.0,0.053,19,False
56,chai,0.9,0.0,0.1,20,False
56,esmfold2,0.868,0.0,0.132,38,False
56,boltz2,0.955,0.0,0.045,22,False
56,af2m,0.955,0.0,0.045,22,False
57,protenix,0.95,0.0,0.05,20,False
57,chai,0.95,0.0,0.05,20,False
57,esmfold2,0.857,0.0,0.143,35,False
57,boltz2,0.952,0.0,0.048,21,False
57,af2m,0.941,0.0,0.059,17,False
58,protenix,0.952,0.0,0.048,21,False
58,chai,0.889,0.0,0.111,18,False
58,esmfold2,0.897,0.0,0.103,39,False
58,boltz2,0.95,0.0,0.05,20,False
58,af2m,0.947,0.0,0.053,19,False
59,protenix,0.947,0.0,0.053,19,False
59,chai,0.944,0.0,0.056,18,False
59,esmfold2,0.913,0.0,0.087,23,False
59,boltz2,0.895,0.0,0.105,19,False
59,af2m,0.952,0.0,0.048,21,False
60,protenix,0.952,0.0,0.048,21,False
60,chai,0.952,0.0,0.048,21,False
60,esmfold2,0.923,0.0,0.077,26,False
60,boltz2,0.952,0.0,0.048,21,False
60,af2m,0.952,0.0,0.048,21,False
61,protenix,0.952,0.0,0.048,21,False
61,chai,0.952,0.0,0.048,21,False
61,esmfold2,0.917,0.0,0.083,24,False
61,boltz2,0.95,0.0,0.05,20,False
61,af2m,0.947,0.0,0.053,19,False
62,protenix,0.952,0.0,0.048,21,False
62,chai,0.9,0.0,0.1,20,False
62,esmfold2,0.917,0.0,0.083,36,False
62,boltz2,0.944,0.0,0.056,18,False
62,af2m,0.95,0.0,0.05,20,False
63,protenix,0.955,0.0,0.045,22,False
63,chai,0.87,0.0,0.13,23,False
63,esmfold2,1.0,0.0,0.0,20,False
63,boltz2,0.955,0.0,0.045,22,False
63,af2m,1.0,0.0,0.0,17,False
64,protenix,0.9,0.0,0.1,20,False
64,chai,0.708,0.0,0.292,24,False
64,boltz2,0.722,0.0,0.278,18,False
64,af2m,0.826,0.0,0.174,23,False
65,protenix,1.0,0.0,0.0,20,False
65,chai,1.0,0.0,0.0,19,False
65,esmfold2,0.909,0.0,0.091,22,False
65,boltz2,0.947,0.0,0.053,19,False
65,af2m,1.0,0.0,0.0,22,False
66,protenix,0.905,0.0,0.095,21,False
66,chai,0.875,0.0,0.125,16,False
66,boltz2,0.727,0.0,0.273,11,False
66,af2m,0.9,0.0,0.1,10,False
67,protenix,1.0,0.0,0.0,18,False
67,chai,0.909,0.0,0.091,11,False
67,boltz2,1.0,0.0,0.0,22,False
67,af2m,0.952,0.0,0.048,21,False
68,protenix,0.95,0.0,0.05,20,False
68,chai,0.727,0.0,0.273,22,False
68,esmfold2,0.75,0.0,0.25,20,False
68,boltz2,0.583,0.0,0.417,24,False
68,af2m,1.0,0.0,0.0,15,False
69,protenix,0.895,0.0,0.105,19,False
69,chai,0.739,0.0,0.261,23,False
69,esmfold2,0.8,0.0,0.2,20,False
69,boltz2,0.571,0.0,0.429,14,False
69,af2m,0.826,0.0,0.174,23,False
70,protenix,0.0,0.765,0.235,17,True
70,chai,0.0,0.739,0.261,23,True
70,boltz2,0.07,0.442,0.488,43,True
70,af2m,0.0,0.75,0.25,20,True
71,protenix,0.048,0.571,0.381,21,True
71,chai,0.043,0.478,0.478,23,True
71,esmfold2,0.025,0.5,0.475,40,True
71,boltz2,0.156,0.375,0.469,32,True
71,af2m,0.12,0.44,0.44,25,True
72,protenix,0.0,0.714,0.286,14,True
72,chai,0.059,0.588,0.353,34,True
72,boltz2,0.024,0.476,0.5,42,True
72,af2m,0.0,0.75,0.25,20,True
73,protenix,1.0,0.0,0.0,16,False
73,chai,0.95,0.0,0.05,20,False
73,esmfold2,1.0,0.0,0.0,17,False
73,boltz2,0.864,0.0,0.136,22,False
73,af2m,1.0,0.0,0.0,15,False
74,protenix,0.55,0.2,0.25,20,True
74,chai,0.429,0.333,0.238,42,True
74,esmfold2,0.545,0.182,0.273,22,True
74,boltz2,0.5,0.2,0.3,20,True
74,af2m,0.545,0.182,0.273,22,True
75,protenix,0.905,0.0,0.095,21,False
75,chai,0.733,0.0,0.267,30,False
75,esmfold2,0.71,0.0,0.29,31,False
75,boltz2,0.741,0.0,0.259,27,False
75,af2m,0.905,0.0,0.095,21,False
76,protenix,0.0,0.548,0.452,31,True
76,chai,0.0,0.645,0.355,31,True
76,esmfold2,0.038,0.692,0.269,26,True
76,boltz2,0.074,0.667,0.259,27,True
76,af2m,0.0,0.704,0.296,27,True
77,protenix,0.0,0.273,0.727,22,True
77,chai,0.0,0.114,0.886,35,False
77,boltz2,0.03,0.303,0.667,33,True
77,af2m,0.0,0.222,0.778,18,True
78,protenix,0.556,0.0,0.444,18,False
78,chai,0.444,0.083,0.472,36,False
78,boltz2,0.143,0.286,0.571,7,True
78,af2m,0.733,0.0,0.267,15,False
79,protenix,0.038,0.269,0.692,26,True
79,chai,0.032,0.258,0.71,31,True
79,esmfold2,0.067,0.167,0.767,30,True
79,boltz2,0.091,0.227,0.682,22,True
79,af2m,0.1,0.05,0.85,20,False
80,protenix,0.0,0.727,0.273,11,True
80,chai,0.048,0.31,0.643,42,True
80,boltz2,0.0,0.727,0.273,11,True
80,af2m,0.0,0.733,0.267,15,True
81,protenix,0.0,1.0,0.0,2,True
81,chai,0.0,0.744,0.256,39,True
81,boltz2,0.0,0.704,0.296,27,True
81,af2m,0.0,0.5,0.5,20,True
82,protenix,0.864,0.0,0.136,22,False
82,chai,0.833,0.0,0.167,24,False
82,esmfold2,0.875,0.0,0.125,24,False
82,boltz2,0.838,0.0,0.162,37,False
82,af2m,0.833,0.0,0.167,24,False
83,protenix,0.364,0.0,0.636,11,False
83,chai,0.789,0.0,0.211,19,False
83,boltz2,0.857,0.0,0.143,14,False
83,af2m,0.789,0.0,0.211,19,False
84,protenix,0.379,0.0,0.621,29,False
84,chai,0.545,0.0,0.455,22,False
84,esmfold2,0.667,0.0,0.333,27,False
84,boltz2,0.571,0.0,0.429,21,False
84,af2m,0.588,0.0,0.412,17,False
85,protenix,0.429,0.429,0.143,14,True
85,chai,0.517,0.276,0.207,29,True
85,esmfold2,0.625,0.083,0.292,24,False
85,boltz2,0.333,0.296,0.37,27,True
85,af2m,0.882,0.059,0.059,17,False
86,protenix,0.875,0.0,0.125,24,False
86,chai,0.9,0.0,0.1,30,False
86,esmfold2,1.0,0.0,0.0,24,False
86,boltz2,0.955,0.0,0.045,22,False
86,af2m,0.955,0.0,0.045,22,False
87,protenix,0.857,0.0,0.143,21,False
87,chai,0.889,0.0,0.111,18,False
87,esmfold2,0.864,0.0,0.136,22,False
87,boltz2,0.808,0.0,0.192,26,False
87,af2m,0.957,0.0,0.043,23,False
88,protenix,0.786,0.0,0.214,14,False
88,chai,0.816,0.0,0.184,38,False
88,esmfold2,1.0,0.0,0.0,10,False
88,boltz2,0.857,0.0,0.143,21,False
88,af2m,0.905,0.0,0.095,21,False
89,protenix,0.053,0.895,0.053,19,True
89,chai,0.088,0.853,0.059,34,True
89,boltz2,0.071,0.857,0.071,28,True
89,af2m,0.2,0.733,0.067,15,True
90,protenix,0.944,0.0,0.056,18,False
90,chai,0.895,0.0,0.105,19,False
90,esmfold2,1.0,0.0,0.0,17,False
90,boltz2,1.0,0.0,0.0,16,False
90,af2m,1.0,0.0,0.0,16,False
91,protenix,1.0,0.0,0.0,19,False
91,chai,1.0,0.0,0.0,22,False
91,esmfold2,1.0,0.0,0.0,17,False
91,boltz2,0.967,0.0,0.033,30,False
91,af2m,1.0,0.0,0.0,19,False
92,protenix,0.75,0.0,0.25,16,False
92,chai,0.812,0.0,0.188,32,False
92,esmfold2,0.815,0.0,0.185,27,False
92,boltz2,0.778,0.0,0.222,27,False
92,af2m,0.84,0.0,0.16,25,False
93,protenix,0.846,0.0,0.154,26,False
93,chai,0.913,0.0,0.087,23,False
93,boltz2,0.868,0.0,0.132,38,False
93,af2m,0.9,0.0,0.1,20,False
94,protenix,1.0,0.0,0.0,15,False
94,chai,0.818,0.0,0.182,33,False
94,esmfold2,0.769,0.0,0.231,13,False
94,boltz2,0.647,0.0,0.353,34,False
94,af2m,0.75,0.0,0.25,12,False
95,protenix,1.0,0.0,0.0,16,False
95,chai,1.0,0.0,0.0,24,False
95,esmfold2,0.958,0.0,0.042,24,False
95,boltz2,0.889,0.0,0.111,27,False
95,af2m,0.929,0.0,0.071,14,False
96,protenix,0.9,0.0,0.1,10,False
96,chai,0.96,0.0,0.04,25,False
96,boltz2,0.824,0.0,0.176,34,False
96,af2m,0.815,0.0,0.185,27,False
97,protenix,0.923,0.0,0.077,13,False
97,chai,0.509,0.333,0.158,57,True
97,boltz2,0.941,0.059,0.0,17,False
97,af2m,0.333,0.619,0.048,21,True
98,protenix,0.923,0.0,0.077,26,False
98,chai,0.962,0.0,0.038,26,False
98,esmfold2,0.966,0.0,0.034,29,False
98,boltz2,0.96,0.0,0.04,25,False
98,af2m,0.958,0.0,0.042,24,False
99,protenix,0.889,0.0,0.111,18,False
99,chai,0.517,0.069,0.414,29,False
99,esmfold2,0.731,0.038,0.231,26,False
99,boltz2,0.571,0.19,0.238,42,True
99,af2m,0.64,0.08,0.28,25,False
100,protenix,0.3,0.433,0.267,30,True
100,chai,0.364,0.152,0.485,33,True
100,boltz2,0.25,0.464,0.286,28,True
100,af2m,0.333,0.333,0.333,24,True
101,protenix,0.222,0.519,0.259,27,True
101,chai,0.432,0.318,0.25,44,True
101,boltz2,0.275,0.45,0.275,40,True
101,af2m,0.409,0.364,0.227,22,True
102,protenix,0.833,0.0,0.167,24,False
102,chai,0.806,0.0,0.194,36,False
102,esmfold2,0.857,0.0,0.143,28,False
102,boltz2,0.8,0.0,0.2,30,False
102,af2m,0.852,0.0,0.148,27,False
103,protenix,1.0,0.0,0.0,22,False
103,chai,0.955,0.0,0.045,22,False
103,esmfold2,0.933,0.0,0.067,30,False
103,boltz2,1.0,0.0,0.0,23,False
103,af2m,1.0,0.0,0.0,24,False
104,protenix,1.0,0.0,0.0,18,False
104,chai,0.955,0.0,0.045,22,False
104,boltz2,0.815,0.0,0.185,27,False
104,af2m,1.0,0.0,0.0,21,False
105,protenix,0.9,0.0,0.1,20,False
105,chai,0.85,0.0,0.15,20,False
105,esmfold2,0.95,0.0,0.05,20,False
105,boltz2,1.0,0.0,0.0,20,False
105,af2m,0.864,0.0,0.136,22,False
106,protenix,0.963,0.0,0.037,27,False
106,chai,1.0,0.0,0.0,26,False
106,esmfold2,1.0,0.0,0.0,26,False
106,boltz2,1.0,0.0,0.0,25,False
106,af2m,1.0,0.0,0.0,25,False
107,protenix,0.0,0.438,0.562,16,True
107,chai,0.062,0.562,0.375,16,True
107,boltz2,0.133,0.4,0.467,15,True
107,af2m,0.0,0.364,0.636,11,True
108,protenix,0.846,0.0,0.154,13,False
108,chai,0.733,0.0,0.267,15,False
108,boltz2,0.923,0.0,0.077,13,False
108,af2m,0.933,0.0,0.067,15,False
109,protenix,0.0,0.0,1.0,9,False
109,chai,0.0,0.0,1.0,10,False
109,boltz2,0.0,0.0,1.0,10,False
109,af2m,0.0,0.0,1.0,11,False
110,protenix,0.0,0.0,1.0,2,False
110,chai,0.0,0.0,1.0,8,False
110,boltz2,0.0,0.0,1.0,10,False
110,af2m,0.0,0.0,1.0,9,False
111,protenix,0.0,0.0,1.0,5,False
111,chai,0.0,0.0,1.0,11,False
111,esmfold2,0.0,0.0,1.0,9,False
111,boltz2,0.0,0.0,1.0,9,False
111,af2m,0.0,0.0,1.0,12,False
112,protenix,0.933,0.0,0.067,15,False
112,chai,0.933,0.0,0.067,15,False
112,esmfold2,0.938,0.0,0.062,16,False
112,boltz2,0.944,0.0,0.056,18,False
112,af2m,0.875,0.0,0.125,16,False
113,protenix,1.0,0.0,0.0,16,False
113,chai,0.964,0.0,0.036,28,False
113,esmfold2,0.941,0.0,0.059,17,False
113,boltz2,1.0,0.0,0.0,15,False
113,af2m,1.0,0.0,0.0,15,False
114,protenix,0.933,0.0,0.067,15,False
114,chai,0.8,0.0,0.2,30,False
114,esmfold2,0.857,0.0,0.143,21,False
114,boltz2,0.931,0.0,0.069,29,False
114,af2m,0.895,0.0,0.105,19,False
115,protenix,1.0,0.0,0.0,17,False
115,chai,1.0,0.0,0.0,19,False
115,esmfold2,1.0,0.0,0.0,16,False
115,boltz2,0.95,0.0,0.05,20,False
115,af2m,1.0,0.0,0.0,21,False
116,protenix,1.0,0.0,0.0,11,False
116,chai,0.913,0.0,0.087,23,False
116,boltz2,1.0,0.0,0.0,14,False
116,af2m,0.095,0.333,0.571,21,True
117,protenix,0.75,0.0,0.25,12,False
117,chai,0.75,0.0,0.25,16,False
117,boltz2,0.769,0.0,0.231,13,False
117,af2m,1.0,0.0,0.0,19,False
118,protenix,0.0,0.5,0.5,12,True
118,chai,0.029,0.629,0.343,35,True
118,boltz2,0.0,0.048,0.952,21,False
118,af2m,0.0,0.321,0.679,28,True
119,protenix,1.0,0.0,0.0,10,False
119,chai,0.944,0.0,0.056,18,False
119,boltz2,0.667,0.042,0.292,24,False
119,af2m,0.65,0.1,0.25,20,False
120,protenix,0.4,0.0,0.6,10,False
120,chai,0.643,0.0,0.357,28,False
120,esmfold2,0.789,0.0,0.211,19,False
120,boltz2,0.565,0.0,0.435,23,False
120,af2m,0.645,0.0,0.355,31,False
121,protenix,0.875,0.0,0.125,16,False
121,chai,0.852,0.0,0.148,27,False
121,esmfold2,0.938,0.0,0.062,16,False
121,boltz2,1.0,0.0,0.0,13,False
121,af2m,1.0,0.0,0.0,16,False
122,protenix,0.839,0.0,0.161,31,False
122,chai,0.848,0.0,0.152,33,False
122,esmfold2,0.871,0.0,0.129,31,False
122,boltz2,0.955,0.0,0.045,22,False
122,af2m,0.862,0.0,0.138,29,False
123,protenix,0.957,0.0,0.043,23,False
123,chai,0.886,0.0,0.114,35,False
123,esmfold2,0.893,0.0,0.107,28,False
123,boltz2,0.742,0.0,0.258,31,False
123,af2m,0.857,0.0,0.143,28,False
124,protenix,1.0,0.0,0.0,18,False
124,chai,0.926,0.0,0.074,27,False
124,boltz2,1.0,0.0,0.0,21,False
124,af2m,1.0,0.0,0.0,20,False
125,protenix,0.947,0.0,0.053,19,False
125,chai,0.871,0.0,0.129,31,False
125,esmfold2,0.92,0.0,0.08,25,False
125,boltz2,0.958,0.0,0.042,24,False
125,af2m,0.955,0.0,0.045,22,False
126,protenix,0.9,0.0,0.1,20,False
126,chai,0.792,0.0,0.208,24,False
126,esmfold2,0.909,0.0,0.091,22,False
126,boltz2,0.875,0.0,0.125,24,False
126,af2m,0.864,0.0,0.136,22,False
127,protenix,0.0,0.722,0.278,18,True
127,chai,0.0,0.829,0.171,35,True
127,boltz2,0.0,0.882,0.118,17,True
127,af2m,0.0,0.778,0.222,18,True
128,protenix,0.0,1.0,0.0,10,True
128,chai,0.0,0.706,0.294,17,True
128,boltz2,0.0,0.615,0.385,26,True
128,af2m,0.0,0.741,0.259,27,True
129,protenix,0.067,0.333,0.6,15,True
129,chai,0.1,0.25,0.65,20,True
129,boltz2,0.15,0.35,0.5,20,True
129,af2m,0.231,0.231,0.538,13,True
130,protenix,0.0,0.0,1.0,1,False
130,chai,0.0,0.612,0.388,49,True
130,boltz2,0.0,0.714,0.286,42,True
130,af2m,0.0,0.229,0.771,35,True
131,protenix,0.0,0.818,0.182,22,True
131,chai,0.0,0.83,0.17,47,True
131,boltz2,0.0,0.7,0.3,50,True
131,af2m,0.0,0.5,0.5,8,True
132,protenix,0.938,0.0,0.062,32,False
132,chai,0.909,0.0,0.091,33,False
132,esmfold2,0.909,0.0,0.091,33,False
132,boltz2,0.941,0.0,0.059,34,False
132,af2m,0.939,0.0,0.061,33,False
133,protenix,0.714,0.0,0.286,28,False
133,chai,0.786,0.0,0.214,28,False
