design_id,name,cohort,team,length,scFv2_full_locid,scFv2_full_loclen,scFv2_full_lev,scFv4_full_locid,scFv4_full_loclen,scFv4_full_lev,scFv2_H1_lcs,scFv2_H2_lcs,scFv2_H3_lcs,scFv2_L1_lcs,scFv2_L2_lcs,scFv2_L3_lcs,scFv4_H1_lcs,scFv4_H2_lcs,scFv4_H3_lcs,scFv4_L1_lcs,scFv4_L2_lcs,scFv4_L3_lcs,MOR44698_H1_lcs,MOR44698_H2_lcs,MOR44698_H3_lcs,MOR44698_L1_lcs,MOR44698_L2_lcs,MOR44698_L3_lcs,max_cdr_lcs,max_cdr_lcs_which,FLAG_lcs_ge5_cdr,FLAG_locid_ge70_over10,FLAG_any
11,11_MRAZS_PXDesign,human,MRAZS,80,71.4,7,212,71.4,7,207,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,scFv2_L1,False,False,False
12,12_MRAZS_PXDesign,human,MRAZS,40,33.3,9,219,33.3,9,216,1,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,scFv2_L1,False,False,False
13,13_MRAZS_mosaic,human,MRAZS,93,25.0,24,206,25.0,24,207,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,scFv2_H3,False,False,False
14,14_MRAZS_mosaic,human,MRAZS,81,62.5,8,208,62.5,8,205,2,1,1,2,2,2,2,2,1,2,2,1,1,2,3,2,2,2,3,MOR44698_H3,False,False,False
15,15_MRAZS_mosaic,human,MRAZS,91,25.0,20,211,25.0,20,208,1,1,1,2,3,1,1,1,1,2,3,2,1,1,2,2,2,1,3,scFv2_L2,False,False,False
16,16_MRAZS_mosaic,human,MRAZS,89,80.0,5,202,40.0,15,200,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,scFv2_H3,False,False,False
17,17_MRAZS_mosaic,human,MRAZS,88,57.1,7,207,57.1,7,206,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,scFv2_H2,False,False,False
18,18_MRAZS_mosaic,human,MRAZS,60,35.7,14,213,33.3,12,211,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2,scFv2_H2,False,False,False
19,19_MRAZS_BoltzGen,human,MRAZS,84,52.9,17,202,52.9,17,200,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,scFv2_H3,False,False,False
20,20_MRAZS_BoltzGen,human,MRAZS,84,31.8,44,200,31.8,44,196,2,3,3,2,3,2,1,2,2,2,3,2,2,2,1,2,3,1,3,scFv2_H2,False,False,False
21,21_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,89,40.0,5,211,60.0,5,210,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,scFv2_H3,False,False,False
22,22_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,91,33.3,15,207,40.9,22,205,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,scFv2_H2,False,False,False
23,23_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,65,28.6,7,217,28.6,7,213,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,scFv2_L1,False,False,False
24,24_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,131,25.0,20,205,25.0,20,203,1,1,2,1,2,1,1,2,2,1,2,1,1,3,2,2,1,2,3,MOR44698_H2,False,False,False
25,25_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,89,60.0,5,212,80.0,5,210,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,1,2,scFv2_H3,False,False,False
26,26_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,62,50.0,6,219,50.0,6,217,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,scFv2_H1,False,False,False
27,27_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,131,27.3,22,206,27.3,22,205,1,2,2,2,1,1,1,2,3,2,1,1,1,2,2,2,2,1,3,scFv4_H3,False,False,False
28,28_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,human,EuroBros,68,26.7,15,219,36.4,11,217,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,3,3,MOR44698_L3,False,False,False
29,29_EuroBros_RFDiffusion2_with_common_fold_conditionnning_ProteinMPNN_Boltz2,human,EuroBros,65,12.5,32,207,12.5,32,205,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,scFv2_H3,False,False,False
30,30_EuroBros_RFDiffusion2_with_common_fold_conditionnning_ProteinMPNN_Boltz2,human,EuroBros,52,40.0,10,214,40.0,10,211,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,scFv2_H3,False,False,False
31,31_DeNovo_RFDiffusion3_ProteinMPNN_RosettaFold,human,DeNovo,78,36.4,11,217,26.3,19,215,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,scFv2_L1,False,False,False
32,32_DeNovo_RFDiffusion3_ProteinMPNN_RosettaFold,human,DeNovo,81,30.0,10,219,30.0,10,217,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,scFv2_L1,False,False,False
33,33_StanFold_PXDesign_ProteinMPNN,human,StanFold,100,40.0,10,204,40.0,10,202,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,scFv2_L1,False,False,False
34,34_StanFold_PXDesign_ProteinMPNN,human,StanFold,100,36.4,11,203,26.3,19,202,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,scFv2_L1,False,False,False
35,35_StanFold_PXDesign_ProteinMPNN,human,StanFold,100,40.0,10,205,40.0,10,203,1,1,2,3,2,1,1,2,1,3,2,1,1,2,2,3,3,1,3,scFv2_L1,False,False,False
36,36_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,human,StanFold,122,78.2,119,147,78.5,121,143,2,3,2,2,3,3,2,3,2,2,3,2,2,2,3,2,2,2,3,scFv2_H2,False,True,True
37,37_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,human,StanFold,126,77.9,122,145,79.3,121,143,3,6,2,3,3,3,2,3,2,3,3,2,2,2,2,3,2,2,6,scFv2_H2,True,True,True
38,38_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,human,StanFold,107,33.3,15,206,33.3,15,204,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,2,1,3,MOR44698_L1,False,False,False
39,39_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,human,StanFold,67,29.4,34,211,31.0,29,208,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,scFv2_H3,False,False,False
40,40_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,human,StanFold,62,55.6,9,214,55.6,9,213,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1,2,scFv2_L1,False,False,False
41,41_StanFold_Boltzgen,human,StanFold,122,78.3,120,150,77.3,119,149,3,6,3,3,3,3,3,3,2,3,3,2,2,2,4,2,3,1,6,scFv2_H2,True,True,True
42,42_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,human,StanFold,123,45.5,11,199,45.5,11,195,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,2,2,2,3,MOR44698_H2,False,False,False
43,43_1000Tokens_BoltzGen,human,1000Tokens,113,69.8,106,168,68.9,106,165,2,3,2,3,3,3,2,2,2,3,3,2,3,4,2,2,3,1,4,MOR44698_H2,False,False,False
44,44_1000Tokens_Protpardelle,human,1000Tokens,104,43.8,16,198,30.3,33,197,1,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,scFv2_H2,False,False,False
45,45_1000Tokens_PXDesign_Protenix_AF2,human,1000Tokens,85,40.0,10,209,40.0,10,207,1,1,1,2,3,1,1,1,1,2,3,1,2,1,2,2,2,1,3,scFv2_L2,False,False,False
46,46_1000Tokens_PXDesign_Protenix_AF2,human,1000Tokens,90,38.1,21,205,38.1,21,202,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,2,2,scFv2_L1,False,False,False
47,47_1000Tokens_PXDesign_Protenix_AF2,human,1000Tokens,85,38.5,13,213,38.5,13,209,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,scFv2_H3,False,False,False
48,48_1000Tokens_PXDesign_Protenix_AF2,human,1000Tokens,75,44.4,18,212,44.4,18,210,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,scFv2_H2,False,False,False
49,49_1000Tokens_PXDesign_Protenix_AF2,human,1000Tokens,85,35.0,20,209,35.0,20,208,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,scFv2_H3,False,False,False
50,50_1000Tokens_PXDesign_Protenix_AF2,human,1000Tokens,80,33.3,21,208,36.4,22,206,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,scFv2_L1,False,False,False
51,51_1000Tokens_BoltzGen_Boltz2_ipSAE,human,1000Tokens,81,28.6,28,204,28.6,28,202,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,1,1,1,3,MOR44698_H2,False,False,False
52,52_1000Tokens_BoltzGen_Boltz2,human,1000Tokens,67,40.0,10,212,40.0,10,211,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,scFv2_H2,False,False,False
53,53_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,27.8,18,206,27.8,18,205,2,2,1,2,4,1,1,2,1,2,4,2,1,2,2,2,3,1,4,scFv2_L2,False,False,False
54,54_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,33.3,18,210,33.3,18,208,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,scFv2_L1,False,False,False
55,55_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,30.0,20,206,30.0,20,206,1,2,2,2,3,1,1,1,1,2,3,2,1,1,1,2,2,1,3,scFv2_L2,False,False,False
56,56_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,33.3,18,206,33.3,18,206,1,2,1,2,3,1,1,1,1,2,3,2,1,2,1,2,2,1,3,scFv2_L2,False,False,False
57,57_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,33.3,15,208,33.3,15,206,1,1,1,2,3,1,1,1,1,2,3,2,1,1,1,2,2,1,3,scFv2_L2,False,False,False
58,58_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,46.2,13,206,46.2,13,206,2,2,2,2,3,1,1,2,1,2,3,2,1,1,2,2,3,1,3,scFv2_L2,False,False,False
59,59_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,20.7,29,206,20.7,29,205,1,2,1,2,3,1,1,1,1,2,3,2,1,1,1,2,2,1,3,scFv2_L2,False,False,False
60,60_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,38.5,13,209,38.5,13,208,1,1,2,2,3,1,1,2,1,2,3,2,1,2,2,2,2,1,3,scFv2_L2,False,False,False
61,61_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,38.5,13,207,38.5,13,207,1,1,2,2,3,1,1,2,1,2,3,2,1,1,1,2,2,1,3,scFv2_L2,False,False,False
62,62_crow_RFDiffusion_ProteinMPNN_Boltz2,human,crow,84,31.2,16,208,31.2,16,207,1,1,2,2,3,1,1,1,1,2,3,2,1,1,2,2,2,1,3,scFv2_L2,False,False,False
63,63_BART_bio_BoltzGen_Boltz2,human,BART.bio,80,55.6,9,212,55.6,9,209,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,scFv2_H3,False,False,False
64,64_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,human,BART.bio,62,26.7,15,214,26.7,15,211,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,scFv2_H2,False,False,False
65,65_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,human,BART.bio,62,30.0,10,217,30.0,10,214,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,scFv2_H2,False,False,False
66,66_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,human,BART.bio,62,26.7,15,213,26.7,15,210,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,scFv2_H2,False,False,False
67,67_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,human,BART.bio,62,60.0,5,217,60.0,5,214,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,scFv2_H2,False,False,False
68,68_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,human,BART.bio,62,26.7,15,215,26.7,15,212,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,scFv2_H2,False,False,False
69,69_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,human,BART.bio,62,26.7,15,215,26.7,15,212,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,scFv2_H2,False,False,False
70,70_BART_bio_ProteinMPNN_Boltz2,human,BART.bio,120,51.7,120,179,52.5,120,177,2,2,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,2,3,scFv2_L1,False,False,False
71,71_BART_bio_ProteinMPNN_Boltz2,human,BART.bio,120,52.9,119,178,52.5,120,176,2,2,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,2,3,scFv2_L1,False,False,False
72,72_BART_bio_ProteinMPNN_Boltz2,human,BART.bio,120,52.9,119,179,52.5,120,177,2,2,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,2,3,scFv2_L1,False,False,False
73,73_BraiNSEY_BoltzGen,human,BraiNSEY,93,38.9,18,207,38.9,18,206,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,2,scFv2_L1,False,False,False
74,74_BraiNSEY_BindCraft,human,BraiNSEY,112,34.8,23,205,21.4,28,204,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,scFv2_H2,False,False,False
75,75_BraiNSEY_BindCraft,human,BraiNSEY,108,62.5,8,206,62.5,8,205,2,2,2,1,2,3,2,2,2,1,2,2,1,2,2,2,2,2,3,scFv2_L3,False,False,False
76,76_BraiNSEY_BoltzGen,human,BraiNSEY,119,79.8,119,149,79.0,119,147,3,3,3,3,3,3,2,4,2,3,3,2,3,4,3,2,2,2,4,scFv4_H2,False,True,True
77,77_BraiNSEY_evo_ESM,human,BraiNSEY,247,90.5,243,28,85.5,241,40,3,9,6,4,7,4,3,4,3,4,7,2,2,4,2,3,6,2,9,scFv2_H2,True,True,True
78,78_BraiNSEY_Struct_Evo,human,BraiNSEY,197,22.2,36,198,22.2,36,196,2,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,3,2,3,scFv2_L2,False,False,False
79,79_BraiNSEY_Struct_Evo,human,BraiNSEY,245,93.4,241,24,99.6,245,1,3,3,3,11,7,3,6,9,12,11,7,9,3,3,3,4,6,2,12,scFv4_H3,True,True,True
80,80_BraiNSEY_evo_ESM,human,BraiNSEY,115,75.9,112,159,76.8,112,158,3,2,2,3,3,3,2,2,2,3,3,2,2,3,2,2,2,1,3,scFv2_H1,False,True,True
81,81_Marcel_Alphafold_PXDesign_Boltz2,human,Marcel,55,21.9,32,214,21.9,32,213,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,scFv2_H3,False,False,False
82,82_claude_sonnet_4_6_PXDesign,agent,claude-sonnet-4.6,80,32.0,25,212,32.0,25,209,2,1,1,2,2,1,2,2,1,2,2,2,2,2,3,2,2,1,3,MOR44698_H3,False,False,False
83,83_claude_sonnet_4_6_Foundry,agent,claude-sonnet-4.6,78,57.1,7,214,57.1,7,212,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,scFv2_H3,False,False,False
84,84_claude_sonnet_4_6_Foundry,agent,claude-sonnet-4.6,84,23.1,39,211,46.2,13,209,2,3,2,2,4,1,1,3,1,2,4,2,1,2,1,2,3,1,4,scFv2_L2,False,False,False
85,85_claude_sonnet_4_6_Foundry,agent,claude-sonnet-4.6,65,55.6,9,213,55.6,9,212,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,scFv2_L2,False,False,False
86,86_claude_sonnet_4_6_PXDesign,agent,claude-sonnet-4.6,80,38.5,13,210,38.5,13,208,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,scFv2_L1,False,False,False
87,87_claude_sonnet_4_6_PXDesign,agent,claude-sonnet-4.6,80,18.8,16,209,26.7,15,206,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,scFv2_L1,False,False,False
88,88_claude_sonnet_4_6_Foundry,agent,claude-sonnet-4.6,81,38.9,18,209,38.9,18,207,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,scFv2_L1,False,False,False
89,89_claude_sonnet_4_6_Foundry,agent,claude-sonnet-4.6,64,42.9,35,213,42.9,35,211,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,scFv2_H1,False,False,False
90,90_claude_sonnet_4_6_PXDesign,agent,claude-sonnet-4.6,80,61.5,13,210,61.5,13,207,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,scFv2_L1,False,False,False
91,91_claude_sonnet_4_6_PXDesign,agent,claude-sonnet-4.6,80,40.0,10,209,40.0,10,206,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,scFv2_H3,False,False,False
92,92_qwen_3_5_plus_PXDesign,agent,qwen-3.5-plus,90,44.4,9,202,44.4,9,200,1,1,2,2,2,1,1,2,1,2,2,2,1,3,2,2,2,1,3,MOR44698_H2,False,False,False
93,93_qwen_3_5_plus_PXDesign,agent,qwen-3.5-plus,90,35.3,17,210,25.0,16,207,1,1,3,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,3,scFv2_H3,False,False,False
94,94_qwen_3_5_plus_Foundry,agent,qwen-3.5-plus,100,17.5,40,204,17.5,40,200,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,scFv2_H3,False,False,False
95,95_qwen_3_5_plus_PXDesign,agent,qwen-3.5-plus,90,36.4,11,210,41.7,12,207,1,2,1,2,3,1,1,2,1,2,3,3,1,2,2,2,2,1,3,scFv2_L2,False,False,False
96,96_qwen_3_5_plus_Foundry,agent,qwen-3.5-plus,100,50.0,6,213,50.0,6,210,1,1,2,2,3,1,1,2,2,2,3,1,1,2,2,2,2,1,3,scFv2_L2,False,False,False
97,97_qwen_3_5_plus_Foundry,agent,qwen-3.5-plus,100,66.7,6,208,30.8,13,204,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,scFv2_H3,False,False,False
98,98_qwen_3_5_plus_PXDesign,agent,qwen-3.5-plus,90,39.1,23,202,39.1,23,200,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,scFv2_L1,False,False,False
99,99_qwen_3_5_plus_Foundry,agent,qwen-3.5-plus,99,27.3,22,201,27.3,22,199,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,scFv2_L1,False,False,False
100,100_qwen_3_5_plus_Foundry,agent,qwen-3.5-plus,100,26.8,41,199,41.7,12,198,1,2,2,2,3,2,1,3,1,2,3,2,2,2,2,2,2,2,3,scFv2_L2,False,False,False
101,101_qwen_3_5_plus_Foundry,agent,qwen-3.5-plus,100,54.5,11,201,38.9,18,198,1,2,2,2,3,2,1,3,1,2,3,2,2,2,2,2,2,2,3,scFv2_L2,False,False,False
102,102_grok_4_1_fast_PXDesign,agent,grok-4.1-fast,100,25.0,28,204,25.0,28,202,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,2,scFv2_H2,False,False,False
103,103_grok_4_1_fast_PXDesign,agent,grok-4.1-fast,100,21.4,14,209,21.4,14,207,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,3,2,1,3,MOR44698_L1,False,False,False
104,104_grok_4_1_fast_PXDesign,agent,grok-4.1-fast,100,41.7,12,207,41.7,12,206,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,scFv2_H2,False,False,False
105,105_grok_4_1_fast_PXDesign,agent,grok-4.1-fast,100,57.1,7,205,57.1,7,203,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,scFv2_H3,False,False,False
106,106_grok_4_1_fast_PXDesign,agent,grok-4.1-fast,100,20.8,24,203,20.8,24,199,1,1,1,3,2,1,1,2,2,3,2,1,1,2,1,3,3,1,3,scFv2_L1,False,False,False
107,107_grok_4_1_fast_BoltzGen,agent,grok-4.1-fast,63,44.4,9,210,44.4,9,209,3,2,2,3,2,1,2,3,2,3,2,2,2,2,2,2,2,2,3,scFv2_H1,False,False,False
108,108_grok_4_1_fast_BoltzGen,agent,grok-4.1-fast,50,38.5,13,217,38.5,13,214,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,scFv2_H2,False,False,False
109,109_grok_4_1_fast_RFPeptides,agent,grok-4.1-fast,12,37.5,8,236,37.5,8,235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,scFv2_H1,False,False,False
110,110_grok_4_1_fast_RFPeptides,agent,grok-4.1-fast,12,100.0,4,235,100.0,4,233,2,2,1,2,3,1,1,3,1,2,3,1,1,1,2,1,3,2,3,scFv2_L2,False,False,False
111,111_grok_4_1_fast_RFPeptides,agent,grok-4.1-fast,12,50.0,10,235,50.0,10,234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,scFv2_H1,False,False,False
112,112_Gemini_3_1_Pro_PXDesign,agent,Gemini 3.1 Pro,80,22.6,31,207,22.6,31,205,2,2,1,2,4,1,1,2,1,2,4,1,1,2,1,3,3,1,4,scFv2_L2,False,False,False
113,113_Gemini_3_1_Pro_PXDesign,agent,Gemini 3.1 Pro,80,50.0,6,209,26.7,15,206,1,2,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,scFv2_H2,False,False,False
114,114_Gemini_3_1_Pro_PXDesign,agent,Gemini 3.1 Pro,80,75.0,8,208,75.0,8,206,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,scFv2_L1,False,False,False
115,115_Gemini_3_1_Pro_PXDesign,agent,Gemini 3.1 Pro,80,30.0,30,211,30.0,30,209,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,scFv2_H2,False,False,False
116,116_Gemini_3_1_Pro_BoltzGen,agent,Gemini 3.1 Pro,84,33.3,12,210,33.3,12,206,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,scFv2_H2,False,False,False
117,117_Gemini_3_1_Pro_BoltzGen,agent,Gemini 3.1 Pro,61,55.6,9,210,55.6,9,209,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,scFv2_L1,False,False,False
118,118_Gemini_3_1_Pro_BoltzGen,agent,Gemini 3.1 Pro,80,32.6,43,204,32.6,43,201,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,scFv2_H2,False,False,False
119,119_Gemini_3_1_Pro_Foundry,agent,Gemini 3.1 Pro,65,18.2,55,218,18.2,55,216,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,scFv2_L1,False,False,False
120,120_Gemini_3_1_Pro_Foundry,agent,Gemini 3.1 Pro,65,45.5,11,216,45.5,11,213,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2,1,2,scFv2_H3,False,False,False
121,121_Gemini_3_1_Pro_Foundry,agent,Gemini 3.1 Pro,65,26.1,23,219,26.1,23,216,1,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,scFv2_H2,False,False,False
122,122_GLM_5_PXDesign,agent,GLM 5,80,50.0,12,206,50.0,12,205,1,1,1,2,3,2,1,2,1,2,3,2,1,2,2,2,2,1,3,scFv2_L2,False,False,False
123,123_GLM_5_PXDesign,agent,GLM 5,80,30.8,13,209,30.8,13,204,1,1,1,2,2,3,1,1,1,2,2,1,2,2,1,2,2,2,3,scFv2_L3,False,False,False
124,124_GLM_5_PXDesign,agent,GLM 5,80,38.5,13,207,38.5,13,205,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,scFv2_H3,False,False,False
125,125_GLM_5_PXDesign,agent,GLM 5,80,50.0,8,211,50.0,8,208,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,scFv2_L1,False,False,False
