design_id,pdb,name,leaderboard_rank,submitted_ipsae,cohort,team,is_hit,kd_nM,binder_chain_len,topology
7,pdbs/design_007.pdb,7_NovoFy_RFDiffusion_LigandMPNN_Boltz,50.0,0.845749,human,NovoFy,False,,56,3-helix bundle
2,pdbs/design_002.pdb,2_NovoFy_RFDiffusion_LigandMPNN_Boltz,51.0,0.836407,human,NovoFy,False,,90,>=4-helix
91,pdbs/design_091.pdb,91_claude_sonnet_4_6_PXDesign,52.0,0.829435,agent,claude-sonnet-4.6,True,204.40915,80,3-helix bundle
126,pdbs/design_126.pdb,126_GLM_5_PXDesign,53.0,0.827562,agent,GLM 5,False,,80,>=4-helix
23,pdbs/design_023.pdb,23_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,54.0,0.82745,human,EuroBros,True,532.32575,65,2-helix/hairpin
46,pdbs/design_046.pdb,46_1000Tokens_PXDesign_Protenix_AF2,55.0,0.826423,human,1000Tokens,True,503.49665,90,>=4-helix
71,pdbs/design_071.pdb,71_BART_bio_ProteinMPNN_Boltz2,56.0,0.824369,human,BART.bio,False,,120,beta/mixed
42,pdbs/design_042.pdb,42_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,57.0,0.821186,human,StanFold,False,,123,beta/mixed
9,pdbs/design_009.pdb,9_NovoFy_RFDiffusion_LigandMPNN_Boltz,58.0,0.819162,human,NovoFy,False,,90,>=4-helix
95,pdbs/design_095.pdb,95_qwen_3_5_plus_PXDesign,59.0,0.819015,agent,qwen-3.5-plus,True,137.75336666666666,90,3-helix bundle
39,pdbs/design_039.pdb,39_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,60.0,0.814138,human,StanFold,False,,67,beta/mixed
94,pdbs/design_094.pdb,94_qwen_3_5_plus_Foundry,61.0,0.81052,agent,qwen-3.5-plus,False,,100,>=4-helix
106,pdbs/design_106.pdb,106_grok_4_1_fast_PXDesign,62.0,0.801823,agent,grok-4.1-fast,False,,100,>=4-helix
31,pdbs/design_031.pdb,31_DeNovo_RFDiffusion3_ProteinMPNN_RosettaFold,63.0,0.796808,human,DeNovo,False,,78,>=4-helix
114,pdbs/design_114.pdb,114_Gemini_3_1_Pro_PXDesign,64.0,0.796481,agent,Gemini 3.1 Pro,False,,80,>=4-helix
29,pdbs/design_029.pdb,29_EuroBros_RFDiffusion2_with_common_fold_conditionnning_ProteinMPNN_Boltz2,65.0,0.796044,human,EuroBros,False,,65,beta/mixed
112,pdbs/design_112.pdb,112_Gemini_3_1_Pro_PXDesign,66.0,0.792917,agent,Gemini 3.1 Pro,False,,80,>=4-helix
30,pdbs/design_030.pdb,30_EuroBros_RFDiffusion2_with_common_fold_conditionnning_ProteinMPNN_Boltz2,67.0,0.792346,human,EuroBros,False,,52,3-helix bundle
11,pdbs/design_011.pdb,11_MRAZS_PXDesign,68.0,0.792235,human,MRAZS,True,346.10474999999997,80,>=4-helix
50,pdbs/design_050.pdb,50_1000Tokens_PXDesign_Protenix_AF2,69.0,0.791462,human,1000Tokens,False,,80,>=4-helix
28,pdbs/design_028.pdb,28_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,70.0,0.788083,human,EuroBros,False,,68,3-helix bundle
40,pdbs/design_040.pdb,40_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,71.0,0.753918,human,StanFold,False,,62,2-helix/hairpin
88,pdbs/design_088.pdb,88_claude_sonnet_4_6_Foundry,72.0,0.751047,agent,claude-sonnet-4.6,False,,81,3-helix bundle
90,pdbs/design_090.pdb,90_claude_sonnet_4_6_PXDesign,73.0,0.750666,agent,claude-sonnet-4.6,False,,80,3-helix bundle
111,pdbs/design_111.pdb,111_grok_4_1_fast_RFPeptides,74.0,0.748681,agent,grok-4.1-fast,False,,12,loop/other
98,pdbs/design_098.pdb,98_qwen_3_5_plus_PXDesign,75.0,0.744136,agent,qwen-3.5-plus,False,,90,>=4-helix
62,pdbs/design_062.pdb,62_crow_RFDiffusion_ProteinMPNN_Boltz2,76.0,0.740593,human,crow,True,1634.8125999999995,84,>=4-helix
137,pdbs/design_137.pdb,137_GPT_5_2_PXDesign,77.0,0.738767,agent,GPT 5.2,True,80.96844999999999,100,>=4-helix
74,pdbs/design_074.pdb,74_BraiNSEY_BindCraft,78.0,0.733392,human,BraiNSEY,True,1.9082,112,beta/mixed
86,pdbs/design_086.pdb,86_claude_sonnet_4_6_PXDesign,79.0,0.731221,agent,claude-sonnet-4.6,True,214.5512,80,3-helix bundle
68,pdbs/design_068.pdb,68_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,80.0,0.728378,human,BART.bio,False,,62,3-helix bundle
47,pdbs/design_047.pdb,47_1000Tokens_PXDesign_Protenix_AF2,81.0,0.723769,human,1000Tokens,True,46.148300000000006,85,3-helix bundle
85,pdbs/design_085.pdb,85_claude_sonnet_4_6_Foundry,82.0,0.7063,agent,claude-sonnet-4.6,False,,65,beta/mixed
25,pdbs/design_025.pdb,25_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,83.0,0.70384,human,EuroBros,True,97.1946,89,alpha+beta
113,pdbs/design_113.pdb,113_Gemini_3_1_Pro_PXDesign,84.0,0.702436,agent,Gemini 3.1 Pro,False,,80,>=4-helix
41,pdbs/design_041.pdb,41_StanFold_Boltzgen,85.0,0.702166,human,StanFold,False,,122,beta/mixed
52,pdbs/design_052.pdb,52_1000Tokens_BoltzGen_Boltz2,86.0,0.701868,human,1000Tokens,False,,67,>=4-helix
49,pdbs/design_049.pdb,49_1000Tokens_PXDesign_Protenix_AF2,87.0,0.696936,human,1000Tokens,False,,85,>=4-helix
120,pdbs/design_120.pdb,120_Gemini_3_1_Pro_Foundry,88.0,0.694386,agent,Gemini 3.1 Pro,False,,65,>=4-helix
125,pdbs/design_125.pdb,125_GLM_5_PXDesign,89.0,0.686125,agent,GLM 5,False,,80,>=4-helix
139,pdbs/design_139.pdb,139_GPT_5_2_PXDesign,90.0,0.685601,agent,GPT 5.2,False,,90,3-helix bundle
65,pdbs/design_065.pdb,65_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,91.0,0.681547,human,BART.bio,False,,62,3-helix bundle
115,pdbs/design_115.pdb,115_Gemini_3_1_Pro_PXDesign,92.0,0.673624,agent,Gemini 3.1 Pro,False,,80,3-helix bundle
76,pdbs/design_076.pdb,76_BraiNSEY_BoltzGen,93.0,0.671244,human,BraiNSEY,False,,119,beta/mixed
121,pdbs/design_121.pdb,121_Gemini_3_1_Pro_Foundry,94.0,0.657119,agent,Gemini 3.1 Pro,False,,65,2-helix/hairpin
105,pdbs/design_105.pdb,105_grok_4_1_fast_PXDesign,95.0,0.656687,agent,grok-4.1-fast,False,,100,>=4-helix
122,pdbs/design_122.pdb,122_GLM_5_PXDesign,96.0,0.628205,agent,GLM 5,False,,80,>=4-helix
87,pdbs/design_087.pdb,87_claude_sonnet_4_6_PXDesign,97.0,0.613104,agent,claude-sonnet-4.6,True,1062.2436333333333,80,>=4-helix
99,pdbs/design_099.pdb,99_qwen_3_5_plus_Foundry,98.0,0.607256,agent,qwen-3.5-plus,False,,99,alpha+beta
37,pdbs/design_037.pdb,37_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,99.0,0.566053,human,StanFold,False,,126,beta/mixed
69,pdbs/design_069.pdb,69_BART_bio_RFDiffusion_ProteinMPNN_Boltz2,100.0,0.547388,human,BART.bio,False,,62,3-helix bundle
