design_id,n_kin,methods,kon,koff,kd_nM,any_unexpected,koff_min,kon_max,log_kon,log_koff,log_kd,qc_koff_floor_ok,qc_kon_ceiling_ok,qc_model_ok,rate_eligible,kd_from_rates_nM,kd_consistency_dex,binder_iface_charge,target_iface_charge,charge_complementarity,n_binder_iface,bsa,n_iface_binder,n_iface_target,hbonds,salt_bridges,iface_frac_hydrophobic,iface_frac_polar,iface_frac_charged,hbond_density_per100,monomer_rmsd,is_human,team,submitted_ipsae,boltz2_iptm,boltz2_plddt,boltz2_complex_plddt,is_literature_copy,cohort,rosetta_dg,prodigy_protenix_dg,prodigy_protenix_kd,epitope_bin
45,2,SPR,441604.0954245215,0.013008493936757851,32.12065,False,0.0076936675258876,676040.816033567,5.645033092375181,-1.8857729811337933,1.5067843251669473,True,True,True,True,29.457367065974708,-0.037590398675921254,3.0,1.0,-3.0,26,2020.8,26,21,7,3,0.577,0.231,0.192,0.346,,True,1000Tokens,0.903413,0.9539709687232972,0.9451878666877748,0.9429920315742492,False,human,-71.67679835859519,,1.5e-07,1
46,2,SPR,454992.7338004025,0.2267839967246995,503.49665,False,0.148680903115567,622537.289376582,5.658004461062415,-0.644387595190823,2.7019965853338186,True,True,True,True,498.43432625934145,-0.004388641587056642,1.0,2.0,-2.0,22,1616.2,22,17,5,1,0.682,0.182,0.136,0.309,,True,1000Tokens,0.826423,0.917833149433136,0.917248547077179,0.9171023964881896,False,human,-64.12703635277148,,4.1e-06,1
47,2,SPR,283434.223266658,0.01357106168288415,46.148300000000006,False,0.0081581505065938,321503.044341382,5.45245228796688,-1.8673861755545542,1.6641557072207014,True,True,True,True,47.88081526102918,0.01600582925786469,-3.0,-1.0,-3.0,20,1521.2,20,12,8,2,0.55,0.2,0.25,0.526,,True,1000Tokens,0.723769,0.8805823922157288,0.931669056415558,0.9444406628608704,False,human,-56.1152683622181,,5.6e-06,1
48,2,SPR,238360.7666468145,0.139971531902695,639.21695,False,0.131830013305543,313005.995326225,5.3772347735892385,-0.8539602842843556,2.8056482825666804,True,True,True,True,587.2255483642347,-0.03684334044027449,-2.0,2.0,4.0,19,1839.4,19,20,22,8,0.474,0.211,0.316,1.196,,True,1000Tokens,0.846611,0.9359100461006165,0.9315945506095886,0.930515706539154,False,human,-59.295747869525826,,1.7e-07,1
53,2,SPR,119627.93180307999,0.11203657405462135,949.0478499999999,False,0.0906183758619597,126117.704094006,5.077832594465545,-0.9506401798549104,2.9772881096528696,True,True,True,True,936.5419293467783,-0.005760883973324722,0.0,-1.0,0.0,21,1501.8,21,15,3,2,0.714,0.095,0.19,0.2,,True,crow,0.854695,0.9329921007156372,0.9482852220535278,0.9521085023880004,False,human,-61.602293142057874,,8.4e-06,1
55,2,SPR,300598.1206389505,0.1823435548724805,591.7795,False,0.126024674057841,347208.36690876,5.477986261019071,-0.7391095826807982,2.7721599165679676,True,True,True,True,606.6024447687549,0.010744239732163884,0.0,0.0,-0.0,22,1502.6,22,16,3,2,0.773,0.136,0.091,0.2,,True,crow,0.8736,0.9400789141654968,0.936183750629425,0.9352099299430848,False,human,-61.26458359653441,,1.2e-05,1
60,2,SPR,75597.49757022169,0.08778781820889575,1197.53735,False,0.0831113463234261,90853.103226628,4.878507419715078,-1.056565744363872,3.078289067511185,True,True,True,True,1161.2529651176696,-0.013362231590134414,0.0,0.0,-0.0,21,1544.9,21,15,4,2,0.714,0.19,0.095,0.259,,True,crow,0.853518,0.9304128289222716,0.9371458888053894,0.9388291239738464,False,human,-52.11003988093444,,2.1e-05,1
62,2,SPR,109668.0134027317,0.16100634971365552,1634.8125999999997,False,0.158495880821095,143927.127412798,5.040079976450224,-0.793156996072349,3.213467976292666,True,True,True,True,1468.1249775392123,-0.046704948815239344,1.0,-1.0,1.0,21,1421.4,21,13,1,1,0.762,0.095,0.143,0.07,,True,crow,0.740593,0.8823720812797546,0.9258572459220886,0.936728537082672,False,human,-59.797266397372255,,2.1e-05,1
63,2,BLI/SPR,210315.217809245,0.23321673961758402,1154.57135,False,0.145906536299152,304514.511365621,5.3228706981331655,-0.6322402804025916,3.0624207765375626,True,True,True,True,1108.891415689713,-0.017531755073319843,1.0,1.0,-1.0,22,1544.6,22,14,6,3,0.682,0.091,0.227,0.388,,True,BART.bio,0.882017,0.9493287205696106,0.942613422870636,0.9409345388412476,False,human,-58.65309406075028,,2.7e-05,1
74,3,SPR,142808.9124792927,0.00026335917872226665,1.9082,False,0.0002256214254478,157231.374420978,5.154755311920506,-3.5794515408000835,0.28062389151291156,True,True,True,True,1.8441368549771273,-0.01483074423350151,-1.0,1.0,1.0,21,1727.9,21,17,3,2,0.667,0.19,0.143,0.174,,True,BraiNSEY,0.733392,0.8611009120941162,0.8563646674156189,0.8551806211471558,False,human,-54.12665099086223,,6.2e-07,1
79,2,SPR,52489.02549658945,0.00101540848089635,21.6617,False,0.000997268258214,69240.3291769152,4.720068509796479,-2.9933592136011944,1.335692536852909,True,True,True,True,19.34515779803014,-0.04912026025058224,3.0,-4.0,12.0,26,2290.8,26,30,8,1,0.115,0.769,0.115,0.349,,True,BraiNSEY,0.862584,0.9009589552879332,0.9233810305595398,0.9289866089820862,True,human,-72.52298901983932,,7.7e-10,2
82,2,SPR,326717.5762661695,0.010371761136093,34.906400000000005,False,0.0082601637565885,459830.609933739,5.514172498632415,-1.9841474936835648,1.542905061052672,True,True,True,True,31.745341816699074,-0.041225053368651066,-3.0,1.0,3.0,22,2163.8,22,19,25,12,0.409,0.182,0.409,1.155,,False,claude-sonnet-4.6,0.880691,0.9463073015213012,0.9327107667922974,0.9293115735054016,False,agent,-74.45608005292809,,4.9e-07,1
86,3,SPR,173087.20003125598,0.035075424090128,214.5512,False,0.0332686285104221,210193.407337453,5.238264952558617,-1.4549970692977785,2.331530947915164,True,True,True,True,202.6459731499158,-0.024792969771559273,-2.0,2.0,4.0,24,1823.0,24,15,3,4,0.583,0.083,0.333,0.165,,False,claude-sonnet-4.6,0.731221,0.8883620500564575,0.9308332800865172,0.9414510130882264,False,agent,-70.205557177061,,2e-06,1
87,3,BLI/SPR,168747.22031107164,0.15642869789102234,1062.2436333333333,False,0.12823631422572,293117.697957939,5.227236627645251,-0.8056835697390724,3.026224136780627,True,True,True,True,927.0001461514975,-0.059144334164949894,4.0,1.0,-4.0,21,1825.2,21,21,8,0,0.667,0.143,0.19,0.438,,False,claude-sonnet-4.6,0.613104,0.8425771594047546,0.8970689177513123,0.9106917977333068,False,agent,-60.53758439732269,,1.3e-06,1
91,2,SPR,332336.2301177015,0.06757848719410345,204.40915,False,0.0581650027896522,342565.126157228,5.521577689104481,-1.1701915345292613,2.3105003322922655,True,True,True,True,203.3437256304243,-0.002269555926007951,-1.0,2.0,2.0,19,1723.8,19,17,12,9,0.421,0.105,0.474,0.696,,False,claude-sonnet-4.6,0.829435,0.9255461096763612,0.9252667427062988,0.9251969456672668,False,agent,-58.121578085268425,,1.7e-06,1
95,3,SPR,208114.457288874,0.027633257996857702,137.75336666666666,False,0.0175270621156167,289314.31363968,5.318302250815621,-1.5585679081836321,2.1391022217299103,True,True,True,True,132.77913681172694,-0.01597238072916348,1.0,-2.0,2.0,17,1523.3,17,14,4,2,0.529,0.059,0.412,0.263,,False,qwen-3.5-plus,0.819015,0.9196110367774964,0.9208942651748656,0.9212150573730468,False,agent,-45.54166184346491,,2.6e-05,1
102,2,SPR,445983.9520661775,0.0028373527599027497,6.8485499999999995,False,0.0024936374678815,592567.373429051,5.649319231684123,-2.5470866662643363,0.8355986308124103,True,True,True,True,6.362006405741092,-0.032004528760869476,-2.0,1.0,2.0,24,1913.0,24,16,6,3,0.583,0.167,0.25,0.314,,False,grok-4.1-fast,0.907648,0.9504849910736084,0.9430561065673828,0.9411988854408264,False,agent,-57.3700324959666,,3.6e-06,1
103,2,SPR,264063.325890315,0.0068723884303633995,34.53495,False,0.0062378288593661,386275.173370401,5.421708088940965,-2.162892301971338,1.5382588315673051,True,True,True,True,26.02553159244086,-0.12285922247960766,2.0,2.0,-4.0,22,1942.1,22,16,5,3,0.591,0.045,0.364,0.257,,False,grok-4.1-fast,0.847931,0.9206640124320984,0.9379352927207948,0.942253053188324,False,agent,-74.04005798109642,,6e-06,1
123,2,SPR,226347.9125739425,0.3117527834939875,1387.39155,False,0.303675697527105,248765.509371491,5.35477649369852,-0.5061896602209274,3.142199045072301,True,True,True,True,1377.3168038037252,-0.003165198991747949,0.0,0.0,-0.0,23,2087.9,23,21,8,4,0.522,0.13,0.348,0.383,,False,GLM 5,0.866022,0.9382773637771606,0.9100395441055298,0.9029800295829772,False,agent,-58.998004274513846,,8.8e-07,1
132,3,SPR,67500.16527296907,0.00025729070835863333,3.6361333333333334,False,0.0001157776104335,77252.7620543807,4.829304836194738,-3.5895758973552843,0.5606397999815117,True,True,True,True,3.811704864990416,0.0204794664684664,-3.0,3.0,9.0,32,2406.8,32,21,13,2,0.562,0.156,0.281,0.54,,False,GPT 5.2,0.909331,0.9497986435890198,0.93771094083786,0.9346889853477478,False,agent,-82.84356503156653,,2.2e-07,1
134,2,BLI/SPR,333520.490002706,0.0584542362932977,177.59050000000002,False,0.0461548503629667,350430.223033029,5.523122520176873,-1.2331840091876092,2.249419729979021,True,True,True,True,175.26430323013565,-0.00572625934350322,-2.0,2.0,4.0,24,1924.2,24,17,2,1,0.625,0.042,0.333,0.104,,False,GPT 5.2,0.855302,0.9254305362701416,0.9421078562736512,0.9462772011756896,False,agent,-58.06974380904501,,3e-06,1
137,2,SPR,465596.3735135485,0.0362899773640136,80.96844999999999,False,0.0318792579615978,586865.689556945,5.66800958897605,-1.4402133026918946,1.9083158255440547,True,True,True,True,77.94299833170325,-0.01653871721199919,-3.0,4.0,12.0,38,2829.6,38,30,15,6,0.553,0.158,0.289,0.53,,False,GPT 5.2,0.738767,0.8671774864196777,0.9100857973098756,0.9208128452301024,False,agent,-103.38156059704396,,3.4e-08,1
138,2,SPR,224511.13490444951,0.00954790754707085,46.2453,False,0.009487828388841,288820.633973937,5.351237885239732,-2.020091794942971,1.6650676011229175,True,True,True,True,42.5275456878091,-0.036397281305620276,-2.0,4.0,8.0,24,2044.4,24,26,14,4,0.708,0.042,0.25,0.685,,False,GPT 5.2,0.900982,0.9510606527328492,0.8959042429924011,0.8821151256561279,False,agent,-60.07346768447826,,4.3e-08,1
